STATION,DATE,LATITUDE,LONGITUDE,AIR_TEMP,SEA_SURF_TEMP
6584,1864-02-27T14:00:00,18.48,-75.17,,80.4
6584,1864-02-27T15:00:00,18.45,-75.2,,79.2
6584,1864-02-27T20:00:00,18.33,-75.33,,79.2
6584,1864-02-28T00:00:00,18.25,-75.45,,79.2
6584,1864-02-28T02:00:00,18.2,-75.5,,77
6584,1864-02-28T04:00:00,18.15,-75.57,,77
6584,1864-02-28T06:00:00,18.1,-75.62,,79.2
6584,1864-02-28T08:00:00,18.05,-75.68,,79.2
6584,1864-02-28T09:00:00,18.02,-75.72,,79.2
6584,1864-02-28T10:00:00,18,-75.75,,79.2
6584,1864-03-08T18:00:00,17.83,-76.67,,79.2
6584,1864-03-09T08:00:00,17.28,-76.42,,79.2
6584,1864-03-09T09:00:00,17.23,-76.4,,79.2
6584,1864-03-09T14:00:00,17.05,-76.37,,79.2
6584,1864-03-09T15:00:00,17.03,-76.38,,81.5
6584,1864-03-09T20:00:00,16.92,-76.43,,81.5
6584,1864-03-10T02:00:00,16.68,-76.5,,81.5
6584,1864-03-10T04:00:00,16.55,-76.52,,80.4
6584,1864-03-10T08:00:00,16.28,-76.57,,80.4
6584,1864-03-10T09:00:00,16.22,-76.57,,81.5
6584,1864-03-10T12:00:00,16.02,-76.6,,81.5
6584,1864-03-10T14:00:00,15.85,-76.67,,79.2
6584,1864-03-10T16:00:00,15.68,-76.73,,79.2
6584,1864-03-23T09:00:00,15.75,-75.4,,79.2
6584,1864-03-23T10:00:00,15.83,-75.37,,79.2
6584,1864-03-23T12:00:00,16,-75.3,,79.2
6584,1864-03-23T14:00:00,16.13,-75.28,,80.4
6584,1864-03-23T16:00:00,16.25,-75.28,,80.4
6584,1864-03-23T18:00:00,16.38,-75.27,,79.2
6584,1864-03-23T22:00:00,16.63,-75.25,,79.2
6584,1864-03-24T06:00:00,17.23,-75.12,,79.2
6584,1864-03-24T12:00:00,17.68,-74.85,,79.2
6584,1864-03-24T18:00:00,17.8,-74.8,,80.4
6584,1864-03-25T04:00:00,18.1,-74.75,,80.4
6584,1864-03-25T09:00:00,18.33,-74.77,,81.5
6584,1864-03-25T12:00:00,18.47,-74.77,,81.5
6584,1864-03-25T16:00:00,18.73,-74.83,,81.5
6584,1864-03-25T22:00:00,19.18,-75.12,,81.5
6584,1864-03-26T02:00:00,19.37,-75.28,,79.2
6584,1864-03-26T04:00:00,19.4,-75.32,,79.2
6584,1864-03-26T06:00:00,19.43,-75.33,,79.2
6584,1864-03-26T08:00:00,19.48,-75.37,,79.2
6584,1864-03-26T09:00:00,19.5,-75.38,,79.2
6584,1864-03-26T14:00:00,19.58,-75.47,,80.4
6584,1864-03-26T20:00:00,19.7,-75.57,,80.4
6584,1864-03-27T04:00:00,19.85,-75.7,,80.4
6584,1864-03-27T09:00:00,19.95,-75.78,,80.4
6584,1864-03-27T10:00:00,19.97,-75.8,,80.4
6584,1864-03-27T12:00:00,20,-75.83,,80.4
